Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
1,Elias Pettersson,27,C,60,15,25,40,-20,18,10,4,1,0,15,10,0,107,14,238,1144:49:00,19:05,529,598,46.9,94,54,28,59,,petteel01
2,Filip Hronek,28,D,68,7,31,38,-4,20,4,3,0,1,21,8,2,102,6.9,241,1672:20:00,24:36:00,0,0,,87,110,31,85,,hronefi01
3,Brock Boeser,28,RW,61,16,20,36,-31,6,12,4,0,3,11,9,0,135,11.9,280,1153:40:00,18:55,50,67,42.7,24,44,12,46,,boesebr01
4,Jake DeBrusk,29,LW,67,14,18,32,-25,8,3,11,0,0,13,5,0,175,8,304,1134:53:00,16:56,12,17,41.4,29,58,11,39,,debruja01
5,Linus Karlsson,26,C,65,13,17,30,-20,28,11,2,0,1,16,1,0,95,13.7,175,772:00:00,11:53,12,29,29.3,14,76,14,39,,karlsli01
6,Evander Kane,34,LW,65,12,17,29,-17,90,10,2,0,1,13,4,0,155,7.7,330,1076:48:00,16:34,19,32,37.3,26,103,16,67,,kaneev01
7,Drew O'Connor,27,F,68,16,10,26,1,36,14,0,2,2,9,0,1,106,15.1,218,969:55:00,14:16,50,50,50,22,60,15,53,,oconndr01
8,Conor Garland,29,RW,50,7,19,26,-15,30,5,1,1,1,11,8,0,103,6.8,209,947:08:00,18:57,11,18,37.9,28,31,22,63,,garlaco01
9,Kiefer Sherwood,30,RW,44,17,6,23,-12,22,10,6,1,2,2,4,0,109,15.6,231,771:44:00,17:32,13,19,40.6,21,210,18,47,,sherwki01
10,Quinn Hughes,26,D,26,2,21,23,-10,12,0,2,0,0,11,10,0,74,2.7,190,713:08:00,27:26:00,0,0,,32,1,10,41,,hughequ01
11,Tom Willander,20,D,56,4,14,18,-14,18,4,0,0,0,11,3,0,47,8.5,125,909:03:00,16:14,0,0,,56,15,8,47,,willato01
12,Max Sasson,25,F,58,11,4,15,-10,22,11,0,0,0,3,1,0,56,19.6,97,675:41:00,11:39,120,166,42,33,26,11,34,,sassoma01
13,Marcus Pettersson,29,D,68,1,13,14,-9,58,1,0,0,0,13,0,0,58,1.7,153,1457:48:00,21:26,0,0,,114,67,14,72,,pettema01
14,Marco Rossi,24,C,19,5,9,14,-6,6,4,1,0,1,6,3,0,23,21.7,43,327:58:00,17:16,119,114,51.1,17,18,6,16,,rossima01
15,Liam Ohgren,22,LW,37,7,7,14,-2,0,7,0,0,0,7,0,0,57,12.3,118,505:42:00,13:40,7,10,41.2,22,31,9,20,,ohgreli01
16,Aatu Räty,23,C,52,4,9,13,1,22,4,0,0,1,9,0,0,51,7.8,116,626:49:00,12:03,358,227,61.2,10,128,9,28,,ratyaa01
17,Teddy Blueger,31,C,21,6,5,11,-6,6,4,0,2,1,5,0,0,32,18.8,61,347:15:00,16:32,124,143,46.4,9,42,6,20,,bluegte01
18,Elias Pettersson,21,D,58,2,7,9,-12,26,2,0,0,0,7,0,0,39,5.1,116,871:05:00,15:01,0,0,,75,111,14,58,,petteel02
19,Zeev Buium,20,D,31,2,6,8,-11,10,1,1,0,1,3,3,0,29,6.9,87,614:23:00,19:49,0,0,,25,11,5,39,,buiumze01
20,Tyler Myers,35,D,57,1,7,8,-25,40,1,0,0,0,7,0,0,71,1.4,164,1152:12:00,20:13,0,0,,91,65,20,60,,myersty01
21,David Kämpf,31,C,38,2,4,6,-12,10,2,0,0,0,4,0,0,36,5.6,65,571:00:00,15:02,284,255,52.7,22,43,6,18,,kampfda01
22,Arshdeep Bains,25,F,28,1,4,5,-3,12,1,0,0,0,3,1,0,18,5.6,31,257:46:00,9:12,2,12,14.3,5,24,6,11,,bainsar01
23,Pierre-Olivier Joseph,26,D,24,1,4,5,-12,4,1,0,0,0,4,0,0,18,5.6,44,319:19:00,13:18,0,0,,19,8,6,17,,joseppi01
24,Mackenzie MacEachern,31,LW,8,1,3,4,0,12,1,0,0,0,3,0,0,6,16.7,10,81:28:00,10:11,1,1,50,6,10,1,3,,maceama01
25,Jonathan Lekkerimäki,21,RW,13,2,1,3,-3,0,2,0,0,0,1,0,0,10,20,26,151:49:00,11:41,0,0,,5,10,1,7,,lekkejo01
26,Nils Höglander,25,LW,27,1,2,3,-3,8,1,0,0,0,2,0,0,25,4,71,313:13:00,11:36,0,0,,6,37,4,16,,hoglani01
27,Filip Chytil,26,C,12,3,0,3,-7,6,3,0,0,1,0,0,0,24,12.5,40,180:04:00,15:00,60,62,49.2,4,4,4,12,,chytifi01
28,Kevin Lankinen,30,G,38,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,2078:01:00,54:41:00,0,0,,0,0,0,8,,lankike01
29,Lukas Reichel,23,LW,14,0,1,1,-5,4,0,0,0,0,1,0,0,9,0,26,183:30:00,13:06,44,66,40,8,6,1,9,,reichlu01
30,Thatcher Demko,30,G,20,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,1115:52:00,55:48:00,0,0,,0,0,0,9,,demkoth01
31,Victor Mancini,23,D,18,0,0,0,-10,5,0,0,0,0,0,0,0,8,0,21,249:05:00,13:50,0,0,,22,22,0,10,,mancivi01
32,Joseph LaBate,32,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,3,9:32,9:32,1,1,50,2,6,0,0,,labatjo01
33,Jiří Patera,26,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:49:00,56:49:00,0,0,,0,0,0,0,,paterji01
34,Derek Forbort,33,D,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,27:52:00,13:56,0,0,,4,2,0,5,,forbode01
35,Curtis Douglas,25,C,3,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,5,26:46:00,8:55,1,1,50,0,11,1,0,,douglcu01
36,Braeden Cootes,18,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,0,32:20:00,10:47,5,8,38.5,1,3,0,4,,cootebr01
37,Nikita Tolopilo,25,G,15,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,826:00:00,55:04:00,0,0,,0,0,0,4,,tolopni01
38,Nils Åman,25,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17:19,8:40,1,1,50,1,2,0,1,,amanni01
,Team Totals,,,68,173,286,459,-307,561,129,37,7,16,211,72,3,1784,9.7,3842,24342:06:00,18:45,1823,1897,49,934,1449,309,1067,,-9999